DroneID,Tasa
ppalDrone,0
ppalDrone,0
Drone_1,0
ppalDrone,0
Drone_2,0
ppalDrone,0
Drone_3,0
ppalDrone,0
ppalDrone,0
Drone_1,0
ppalDrone,0
Drone_2,0
ppalDrone,0
Drone_3,0
ppalDrone,0
ppalDrone,0
Drone_1,0
ppalDrone,0
Drone_2,0
ppalDrone,0
Drone_3,0
ppalDrone,0
ppalDrone,0
Drone_1,0
ppalDrone,0
Drone_2,8
ppalDrone,0
Drone_3,0
ppalDrone,0
ppalDrone,0
Drone_1,0
ppalDrone,0
Drone_2,18
ppalDrone,0
Drone_3,22
ppalDrone,0
ppalDrone,0
Drone_1,21
ppalDrone,0
Drone_2,10
ppalDrone,0
Drone_3,2
ppalDrone,0
ppalDrone,0
Drone_1,2
ppalDrone,0
Drone_2,12
ppalDrone,0
Drone_3,5
ppalDrone,0
ppalDrone,0
Drone_1,4
ppalDrone,0
Drone_2,6
ppalDrone,0
Drone_3,5
ppalDrone,0
ppalDrone,0
Drone_1,2
ppalDrone,0
Drone_2,2
ppalDrone,0
Drone_3,2
ppalDrone,0
ppalDrone,0
Drone_1,9
ppalDrone,0
Drone_2,3
ppalDrone,0
Drone_3,10
ppalDrone,0
ppalDrone,0
Drone_1,9
ppalDrone,0
Drone_2,1
ppalDrone,0
Drone_3,7
ppalDrone,0
ppalDrone,0
Drone_1,5
ppalDrone,0
Drone_2,22
ppalDrone,0
Drone_3,2
ppalDrone,0
ppalDrone,0
Drone_1,2
ppalDrone,0
Drone_2,4
ppalDrone,0
Drone_3,6
