DroneID,Tasa
ppalDrone,0
Drone_1,0
Drone_2,0
Drone_3,0
Drone_4,0
Drone_5,0
ppalDrone,7
Drone_1,0
Drone_2,0
Drone_3,0
Drone_4,0
Drone_5,0
ppalDrone,8
Drone_1,0
Drone_2,0
Drone_3,3
Drone_4,0
Drone_5,0
ppalDrone,8
Drone_1,0
Drone_2,0
Drone_3,8
Drone_4,4
Drone_5,0
ppalDrone,1
Drone_1,2
Drone_2,0
Drone_3,4
Drone_4,6
Drone_5,9
ppalDrone,12
Drone_1,6
Drone_2,4
Drone_3,4
Drone_4,5
Drone_5,6
ppalDrone,7
Drone_1,3
Drone_2,5
Drone_3,4
Drone_4,7
Drone_5,3
ppalDrone,0
Drone_1,9
Drone_2,7
Drone_3,11
Drone_4,5
Drone_5,8
ppalDrone,0
Drone_1,14
Drone_2,4
Drone_3,15
Drone_4,7
Drone_5,8
