PasoAlgoritmo,Ganancia
0,200
1,0
2,0
3,580
4,0
5,180
6,720
7,-100
8,-140
9,360
10,60
11,720
12,260
13,260
14,180
15,-80
16,540
17,680
18,880
19,260
20,900
21,760
22,440
23,1580
24,1960
25,1640
26,1380
27,1780
28,580
29,1920
30,1980
31,340
32,1700
33,2280
34,2600
35,1800
36,200
37,500
38,3760
39,4040
40,1220
41,2060
42,1040
43,1660
44,200
45,2840
46,100
47,1180
48,600
49,660
50,1500
51,400
52,400
53,2280
54,300
55,0
56,0
57,1080
58,760
59,1120
60,0
61,200
62,0
63,1360
64,3500
65,900
66,180
67,3240
68,1400
69,0
